isp,you_tube_startup_delay_peak,webloading_two_fourh,packet_losspeak,download_two_zero_two_onepm,upload_two_fourmaxave,download_one_two_one_eightpm,you_tube_sd_two_fourhr,latency_two_fourh,region,i_player_uhd_two_fourhr,upload_two_fourminave,technology,dns_failurepeak,unitid,downloadpeakminave,dns_ratepeak,i_player_sd_two_fourhr
Virgin,979.94,155.15,0.01%,34.4,9.3,34.98,3.47%,12.41,North West,0.00%,8.44,FTTC,0.00%,146378.0,33.65,7.61,0.00%
Verizon,1022.89,93.77,0.08%,74.42,18.69,74.51,2.79%,6.95,East Midlands,0.00%,18.51,FTTC,0.00%,814167.0,74.04,5.05,0.00%
Virgin,1026.91,224.16,0.22%,63.07,16.37,67.05,3.25%,15.29,South East,0.00%,7.3,FTTC,0.00%,144248.0,62.6,18.08,0.00%
Comcast,1032.37,183.83,0.04%,52.5,18.6,57.86,4.42%,16.53,East,0.00%,17.91,FTTC,0.00%,815315.0,49.3,17.5,0.91%
Comcast,663.16,282.51,0.06%,66.6,18.58,66.14,4.97%,10.32,South East,0.00%,18.25,FTTC,0.00%,979553.0,65.64,9.91,1.69%
Virgin,484.22,268.42,0.04%,37.28,9.28,37.28,2.92%,12.96,Wales,0.00%,9.21,FTTC,0.00%,941274.0,37.27,2.5,0.00%
Verizon,537.33,161.96,0.03%,38.47,11.9,49.13,3.38%,16.55,Scotland,0.00%,11.7,FTTC,0.00%,947806.0,38.1,18.81,0.00%
Comcast,996.27,174.55,0.06%,34.31,8.64,34.49,5.20%,7.76,London,0.00%,8.45,FTTC,0.00%,144540.0,34.1,7.73,1.41%
Verizon,947.96,299.72,0.03%,25.56,2.3,25.28,6.55%,27.55,North East,0.00%,2.15,FTTC,0.00%,141620.0,25.06,19.23,0.00%
Comcast,663.8,264.65,0.00%,215.6,20.91,212.37,3.76%,17.3,Wales,0.00%,20.56,Cable,0.00%,814019.0,214.24,11.64,0.00%
Virgin,456.6,148.22,0.00%,35.96,5.86,36.81,2.88%,12.25,East,0.00%,5.52,FTTC,0.00%,941062.0,34.46,6.46,0.00%
Virgin,560.28,117.27,0.00%,62.43,18.7,62.35,3.47%,11.36,Yorkshire & Humberside,0.00%,18.59,FTTC,0.00%,196320.0,62.44,4.86,0.00%
Virgin,545.14,194.31,0.03%,32.31,14.01,32.31,3.03%,19.22,North West,0.00%,13.88,FTTC,0.00%,950124.0,31.68,12.7,0.00%
Sky,1037.61,244.2,0.01%,70.15,20.82,69.94,4.06%,9.16,Wales,0.00%,19.36,FTTC,0.00%,165876.0,68.73,23.77,0.00%
Virgin,452.17,78.21,0.01%,74.08,18.68,72.73,3.31%,6.64,East,0.00%,18.57,FTTC,0.00%,950126.0,73.56,4.8,0.00%
Virgin,984.3,210.23,0.24%,37.31,9.77,41.91,3.32%,20.27,Scotland,0.00%,8.88,FTTC,0.00%,419202.0,36.41,7.41,0.34%
Verizon,994.74,324.63,0.02%,49.04,13.02,48.76,3.50%,13.51,North East,0.00%,12.08,FTTC,0.00%,146404.0,48.99,12.75,0.00%
Verizon,978.52,123.28,0.03%,70.86,18.68,70.86,3.51%,11.75,Wales,0.00%,17.89,FTTC,0.00%,33816.0,68.05,14.06,0.00%
Verizon,1002.8,364.83,0.00%,46.25,9.29,46.29,3.14%,8.14,East,0.00%,9.19,FTTC,0.00%,159628.0,45.74,8.73,0.00%
Virgin,1155.3,154.43,0.07%,35.39,6.65,35.71,3.47%,12.73,Yorkshire & Humberside,0.00%,6.06,FTTC,0.00%,33786.0,34.82,6.0,0.61%
Verizon,973.34,249.95,0.01%,51.74,16.7,53.04,4.06%,27.24,North East,0.00%,16.44,FTTC,0.00%,813385.0,49.63,14.36,0.00%
Comcast,493.92,288.71,0.02%,373.02,36.92,370.86,2.60%,19.28,East,0.00%,36.57,Cable,0.00%,950880.0,363.71,16.72,0.00%
Verizon,725.54,104.24,0.01%,60.96,18.59,61.12,4.02%,9.76,West Midlands,0.00%,18.09,FTTC,0.00%,800330.0,60.29,9.09,0.00%
Comcast,676.41,279.11,0.00%,219.13,21.06,217.54,3.24%,16.93,South West,0.00%,20.81,Cable,0.00%,821005.0,218.61,15.06,0.00%
Comcast,1012.25,274.27,0.04%,75.76,10.03,78.54,3.48%,16.92,South West,0.00%,8.81,Cable,0.00%,146160.0,72.11,14.01,0.00%
